inspection_id,timestamp,machine_id,product_code,units_inspected,units_passed,defect_type,inspector
QC-0297,2024-01-04 08:00:00,MACH-002,Part-Beta,85,31,None,Auto-Vision
QC-0298,2024-01-04 08:15:00,MACH-004,Part-Delta,29,3,Material Defect,Auto-Vision
QC-0299,2024-01-04 08:30:00,MACH-004,Part-Beta,48,7,Material Defect,Auto-Vision
QC-0300,2024-01-04 08:45:00,MACH-005,Part-Delta,65,63,None,Auto-Vision
QC-0301,2024-01-04 09:00:00,MACH-001,Part-Gamma,23,16,None,Manual-QC1
QC-0302,2024-01-04 09:15:00,MACH-005,Part-Gamma,28,38,None,Manual-QC2
QC-0303,2024-01-04 09:30:00,MACH-002,Part-Delta,72,9,None,Manual-QC1
QC-0304,2024-01-04 09:45:00,MACH-003,Part-Gamma,97,87,None,Manual-QC1
QC-0305,2024-01-04 10:00:00,MACH-005,Part-Beta,77,44,None,Manual-QC1
QC-0306,2024-01-04 10:15:00,MACH-002,Part-Gamma,82,68,None,Auto-Vision
QC-0307,2024-01-04 10:30:00,MACH-003,Part-Delta,41,2,Material Defect,Manual-QC2
QC-0308,2024-01-04 10:45:00,MACH-003,Part-Delta,45,79,None,Manual-QC1
QC-0309,2024-01-04 11:00:00,MACH-003,Part-Beta,26,49,None,Manual-QC2
QC-0310,2024-01-04 11:15:00,MACH-002,Part-Beta,41,70,None,Manual-QC2
QC-0311,2024-01-04 11:30:00,MACH-001,Part-Gamma,75,20,None,Manual-QC1
QC-0312,2024-01-04 11:45:00,MACH-005,Part-Gamma,20,75,None,Manual-QC1
QC-0313,2024-01-04 12:00:00,MACH-003,Part-Alpha,67,57,None,Auto-Vision
QC-0314,2024-01-04 12:15:00,MACH-003,Part-Beta,56,15,None,Manual-QC1
QC-0315,2024-01-04 12:30:00,MACH-001,Part-Gamma,55,87,None,Manual-QC1
QC-0316,2024-01-04 12:45:00,MACH-003,Part-Gamma,72,48,None,Manual-QC2
QC-0317,2024-01-04 13:00:00,MACH-002,Part-Beta,86,85,None,Auto-Vision
QC-0318,2024-01-04 13:15:00,MACH-001,Part-Beta,77,72,None,Manual-QC1
QC-0319,2024-01-04 13:30:00,MACH-004,Part-Delta,99,9,None,Manual-QC1
QC-0320,2024-01-04 13:45:00,MACH-002,Part-Gamma,13,11,None,Manual-QC2
QC-0321,2024-01-04 14:00:00,MACH-004,Part-Alpha,57,67,None,Auto-Vision
QC-0322,2024-01-04 14:15:00,MACH-004,Part-Beta,86,64,None,Manual-QC1
QC-0323,2024-01-04 14:30:00,MACH-003,Part-Delta,45,2,Assembly Error,Manual-QC1
QC-0324,2024-01-04 14:45:00,MACH-002,Part-Gamma,12,23,None,Auto-Vision
QC-0325,2024-01-04 15:00:00,MACH-005,Part-Delta,57,26,None,Manual-QC1
QC-0326,2024-01-04 15:15:00,MACH-004,Part-Alpha,90,63,None,Manual-QC2
QC-0327,2024-01-04 15:30:00,MACH-002,Part-Gamma,88,12,None,Manual-QC2
QC-0328,2024-01-04 15:45:00,MACH-005,Part-Alpha,75,15,None,Manual-QC2
QC-0329,2024-01-04 16:00:00,MACH-002,Part-Delta,18,16,None,Auto-Vision
QC-0330,2024-01-04 16:15:00,MACH-005,Part-Beta,40,19,None,Manual-QC1
QC-0331,2024-01-04 16:30:00,MACH-003,Part-Alpha,62,51,None,Auto-Vision
QC-0332,2024-01-04 16:45:00,MACH-005,Part-Alpha,77,61,None,Manual-QC2
QC-0333,2024-01-04 17:00:00,MACH-002,Part-Alpha,36,65,None,Auto-Vision
QC-0334,2024-01-04 17:15:00,MACH-003,Part-Beta,40,1,Dimensional,Auto-Vision
QC-0335,2024-01-04 17:30:00,MACH-002,Part-Delta,15,13,None,Auto-Vision
QC-0336,2024-01-04 17:45:00,MACH-002,Part-Beta,74,48,None,Manual-QC1
QC-0337,2024-01-04 18:00:00,MACH-004,Part-Alpha,75,45,None,Manual-QC1
QC-0338,2024-01-04 18:15:00,MACH-004,Part-Alpha,15,2,Dimensional,Auto-Vision
QC-0339,2024-01-04 18:30:00,MACH-004,Part-Alpha,54,97,None,Auto-Vision
QC-0340,2024-01-04 18:45:00,MACH-003,Part-Beta,60,35,None,Auto-Vision
QC-0341,2024-01-04 19:00:00,MACH-005,Part-Gamma,44,79,None,Manual-QC1
QC-0342,2024-01-04 19:15:00,MACH-002,Part-Beta,87,40,None,Manual-QC1
QC-0343,2024-01-04 19:30:00,MACH-003,Part-Delta,25,91,None,Manual-QC1
QC-0344,2024-01-04 19:45:00,MACH-004,Part-Delta,36,31,None,Auto-Vision
QC-0345,2024-01-04 20:00:00,MACH-001,Part-Beta,35,7,Material Defect,Manual-QC2
QC-0346,2024-01-04 20:15:00,MACH-005,Part-Gamma,56,67,None,Auto-Vision
QC-0347,2024-01-04 20:30:00,MACH-002,Part-Gamma,37,73,None,Auto-Vision
QC-0348,2024-01-04 20:45:00,MACH-002,Part-Beta,52,34,None,Manual-QC1
QC-0349,2024-01-04 21:00:00,MACH-004,Part-Gamma,68,58,None,Manual-QC2
QC-0350,2024-01-04 21:15:00,MACH-004,Part-Delta,81,84,None,Manual-QC1
QC-0351,2024-01-04 21:30:00,MACH-002,Part-Alpha,88,21,None,Auto-Vision
QC-0352,2024-01-04 21:45:00,MACH-005,Part-Alpha,11,43,None,Auto-Vision
QC-0353,2024-01-04 22:00:00,MACH-004,Part-Beta,22,14,None,Manual-QC1
QC-0354,2024-01-04 22:15:00,MACH-002,Part-Delta,57,17,None,Manual-QC1
QC-0355,2024-01-04 22:30:00,MACH-001,Part-Gamma,14,23,None,Manual-QC1
QC-0356,2024-01-04 22:45:00,MACH-004,Part-Beta,25,89,None,Manual-QC2
QC-0357,2024-01-04 23:00:00,MACH-001,Part-Delta,32,9,None,Auto-Vision
QC-0358,2024-01-04 23:15:00,MACH-002,Part-Delta,84,6,Material Defect,Manual-QC1
QC-0359,2024-01-04 23:30:00,MACH-005,Part-Delta,18,6,Surface Scratch,Auto-Vision
QC-0360,2024-01-04 23:45:00,MACH-004,Part-Alpha,14,4,Assembly Error,Manual-QC1
QC-0361,2024-01-05 00:00:00,MACH-001,Part-Alpha,94,16,None,Manual-QC1
QC-0362,2024-01-05 00:15:00,MACH-004,Part-Beta,44,11,None,Manual-QC2
QC-0363,2024-01-05 00:30:00,MACH-002,Part-Beta,98,65,None,Auto-Vision
QC-0364,2024-01-05 00:45:00,MACH-001,Part-Delta,81,97,None,Manual-QC1
QC-0365,2024-01-05 01:00:00,MACH-001,Part-Gamma,56,19,None,Manual-QC2
QC-0366,2024-01-05 01:15:00,MACH-004,Part-Beta,57,92,None,Manual-QC1
QC-0367,2024-01-05 01:30:00,MACH-005,Part-Beta,51,89,None,Manual-QC1
QC-0368,2024-01-05 01:45:00,MACH-005,Part-Delta,57,67,None,Manual-QC1
QC-0369,2024-01-05 02:00:00,MACH-002,Part-Delta,96,77,None,Manual-QC1
QC-0370,2024-01-05 02:15:00,MACH-004,Part-Alpha,87,40,None,Auto-Vision
QC-0371,2024-01-05 02:30:00,MACH-003,Part-Delta,67,77,None,Manual-QC2
QC-0372,2024-01-05 02:45:00,MACH-001,Part-Gamma,74,88,None,Auto-Vision
QC-0373,2024-01-05 03:00:00,MACH-005,Part-Beta,83,25,None,Auto-Vision
QC-0374,2024-01-05 03:15:00,MACH-004,Part-Alpha,63,22,None,Manual-QC2
QC-0375,2024-01-05 03:30:00,MACH-005,Part-Alpha,83,8,None,Manual-QC1
QC-0376,2024-01-05 03:45:00,MACH-002,Part-Beta,97,98,None,Manual-QC1
QC-0377,2024-01-05 04:00:00,MACH-003,Part-Gamma,80,58,None,Manual-QC2
QC-0378,2024-01-05 04:15:00,MACH-004,Part-Beta,83,52,None,Manual-QC2
QC-0379,2024-01-05 04:30:00,MACH-001,Part-Beta,91,90,None,Manual-QC1
QC-0380,2024-01-05 04:45:00,MACH-002,Part-Alpha,74,21,None,Manual-QC1
QC-0381,2024-01-05 05:00:00,MACH-001,Part-Gamma,40,59,None,Manual-QC1
QC-0382,2024-01-05 05:15:00,MACH-005,Part-Alpha,34,11,None,Auto-Vision
QC-0383,2024-01-05 05:30:00,MACH-001,Part-Beta,33,7,Dimensional,Auto-Vision
QC-0384,2024-01-05 05:45:00,MACH-001,Part-Delta,55,92,None,Manual-QC1
QC-0385,2024-01-05 06:00:00,MACH-005,Part-Gamma,53,4,Material Defect,Auto-Vision
QC-0386,2024-01-05 06:15:00,MACH-005,Part-Delta,91,86,None,Manual-QC2
QC-0387,2024-01-05 06:30:00,MACH-004,Part-Alpha,73,3,Material Defect,Auto-Vision
QC-0388,2024-01-05 06:45:00,MACH-004,Part-Delta,78,20,None,Manual-QC1
QC-0389,2024-01-05 07:00:00,MACH-005,Part-Gamma,97,70,None,Auto-Vision
QC-0390,2024-01-05 07:15:00,MACH-004,Part-Alpha,70,40,None,Manual-QC2
QC-0391,2024-01-05 07:30:00,MACH-002,Part-Alpha,68,4,Material Defect,Auto-Vision
QC-0392,2024-01-05 07:45:00,MACH-004,Part-Alpha,51,47,None,Manual-QC2
QC-0393,2024-01-05 08:00:00,MACH-004,Part-Beta,88,60,None,Auto-Vision
QC-0394,2024-01-05 08:15:00,MACH-002,Part-Alpha,74,4,Dimensional,Manual-QC2
QC-0395,2024-01-05 08:30:00,MACH-003,Part-Delta,78,91,None,Manual-QC2
QC-0396,2024-01-05 08:45:00,MACH-005,Part-Alpha,99,5,Assembly Error,Auto-Vision
QC-0397,2024-01-05 09:00:00,MACH-003,Part-Beta,15,45,None,Manual-QC2
QC-0398,2024-01-05 09:15:00,MACH-001,Part-Beta,19,33,None,Manual-QC1
QC-0399,2024-01-05 09:30:00,MACH-001,Part-Delta,93,30,None,Manual-QC1
QC-0400,2024-01-05 09:45:00,MACH-002,Part-Beta,53,7,Assembly Error,Auto-Vision
QC-0401,2024-01-05 10:00:00,MACH-001,Part-Alpha,31,25,None,Auto-Vision
QC-0402,2024-01-05 10:15:00,MACH-005,Part-Alpha,66,71,None,Manual-QC1
QC-0403,2024-01-05 10:30:00,MACH-004,Part-Alpha,100,75,None,Manual-QC2
QC-0404,2024-01-05 10:45:00,MACH-005,Part-Alpha,63,68,None,Auto-Vision
QC-0405,2024-01-05 11:00:00,MACH-005,Part-Delta,18,16,None,Auto-Vision
QC-0406,2024-01-05 11:15:00,MACH-003,Part-Delta,61,72,None,Auto-Vision
QC-0407,2024-01-05 11:30:00,MACH-002,Part-Alpha,13,28,None,Auto-Vision
QC-0408,2024-01-05 11:45:00,MACH-002,Part-Delta,94,77,None,Manual-QC1
QC-0409,2024-01-05 12:00:00,MACH-004,Part-Alpha,94,31,None,Manual-QC2
QC-0410,2024-01-05 12:15:00,MACH-005,Part-Alpha,39,33,None,Auto-Vision
QC-0411,2024-01-05 12:30:00,MACH-004,Part-Alpha,57,15,None,Manual-QC2
QC-0412,2024-01-05 12:45:00,MACH-001,Part-Gamma,84,75,None,Auto-Vision
QC-0413,2024-01-05 13:00:00,MACH-002,Part-Gamma,41,69,None,Auto-Vision
QC-0414,2024-01-05 13:15:00,MACH-004,Part-Delta,71,35,None,Auto-Vision
QC-0415,2024-01-05 13:30:00,MACH-005,Part-Alpha,28,93,None,Auto-Vision
QC-0416,2024-01-05 13:45:00,MACH-002,Part-Alpha,71,73,None,Auto-Vision
QC-0417,2024-01-05 14:00:00,MACH-002,Part-Delta,90,54,None,Auto-Vision
QC-0418,2024-01-05 14:15:00,MACH-004,Part-Alpha,65,13,None,Manual-QC1
QC-0419,2024-01-05 14:30:00,MACH-001,Part-Beta,95,100,None,Manual-QC1
QC-0420,2024-01-05 14:45:00,MACH-005,Part-Beta,26,69,None,Manual-QC2
QC-0421,2024-01-05 15:00:00,MACH-005,Part-Delta,92,89,None,Auto-Vision
QC-0422,2024-01-05 15:15:00,MACH-005,Part-Gamma,73,17,None,Manual-QC1
QC-0423,2024-01-05 15:30:00,MACH-004,Part-Alpha,81,18,None,Manual-QC2
QC-0424,2024-01-05 15:45:00,MACH-002,Part-Alpha,57,43,None,Manual-QC1
QC-0425,2024-01-05 16:00:00,MACH-003,Part-Gamma,78,85,None,Manual-QC1
QC-0426,2024-01-05 16:15:00,MACH-004,Part-Delta,59,96,None,Manual-QC2
QC-0427,2024-01-05 16:30:00,MACH-005,Part-Beta,70,51,None,Auto-Vision
QC-0428,2024-01-05 16:45:00,MACH-003,Part-Alpha,42,88,None,Manual-QC1
QC-0429,2024-01-05 17:00:00,MACH-003,Part-Beta,50,49,None,Auto-Vision
QC-0430,2024-01-05 17:15:00,MACH-003,Part-Gamma,34,50,None,Manual-QC2
QC-0431,2024-01-05 17:30:00,MACH-003,Part-Gamma,86,62,None,Manual-QC2
QC-0432,2024-01-05 17:45:00,MACH-005,Part-Beta,98,45,None,Auto-Vision
QC-0433,2024-01-05 18:00:00,MACH-003,Part-Gamma,36,67,None,Manual-QC2
QC-0434,2024-01-05 18:15:00,MACH-001,Part-Gamma,91,39,None,Auto-Vision
QC-0435,2024-01-05 18:30:00,MACH-003,Part-Beta,92,71,None,Manual-QC1
QC-0436,2024-01-05 18:45:00,MACH-004,Part-Gamma,82,66,None,Manual-QC2
QC-0437,2024-01-05 19:00:00,MACH-003,Part-Alpha,42,23,None,Manual-QC1
QC-0438,2024-01-05 19:15:00,MACH-004,Part-Alpha,18,32,None,Manual-QC1
QC-0439,2024-01-05 19:30:00,MACH-004,Part-Gamma,75,80,None,Manual-QC1
QC-0440,2024-01-05 19:45:00,MACH-001,Part-Delta,90,70,None,Manual-QC2
QC-0441,2024-01-05 20:00:00,MACH-004,Part-Delta,50,1,Surface Scratch,Auto-Vision
QC-0442,2024-01-05 20:15:00,MACH-001,Part-Alpha,18,43,None,Auto-Vision
QC-0443,2024-01-05 20:30:00,MACH-003,Part-Beta,22,95,None,Manual-QC1
QC-0444,2024-01-05 20:45:00,MACH-005,Part-Alpha,11,22,None,Manual-QC1
QC-0445,2024-01-05 21:00:00,MACH-003,Part-Gamma,65,38,None,Auto-Vision
QC-0446,2024-01-05 21:15:00,MACH-005,Part-Gamma,80,53,None,Auto-Vision
QC-0447,2024-01-05 21:30:00,MACH-005,Part-Gamma,38,29,None,Manual-QC1
QC-0448,2024-01-05 21:45:00,MACH-005,Part-Alpha,30,19,None,Manual-QC2
QC-0449,2024-01-05 22:00:00,MACH-003,Part-Delta,25,20,None,Auto-Vision
QC-0450,2024-01-05 22:15:00,MACH-002,Part-Beta,68,86,None,Auto-Vision
QC-0451,2024-01-05 22:30:00,MACH-002,Part-Gamma,23,8,None,Auto-Vision
QC-0452,2024-01-05 22:45:00,MACH-004,Part-Delta,67,35,None,Auto-Vision
QC-0453,2024-01-05 23:00:00,MACH-001,Part-Delta,66,4,Surface Scratch,Manual-QC2
QC-0454,2024-01-05 23:15:00,MACH-005,Part-Delta,12,77,None,Manual-QC1
QC-0455,2024-01-05 23:30:00,MACH-004,Part-Delta,77,51,None,Manual-QC1
QC-0456,2024-01-05 23:45:00,MACH-005,Part-Delta,66,5,Surface Scratch,Manual-QC1
QC-0457,2024-01-06 00:00:00,MACH-001,Part-Delta,31,59,None,Auto-Vision
QC-0458,2024-01-06 00:15:00,MACH-003,Part-Delta,45,39,None,Manual-QC2
QC-0459,2024-01-06 00:30:00,MACH-002,Part-Delta,86,68,None,Auto-Vision
QC-0460,2024-01-06 00:45:00,MACH-005,Part-Beta,92,97,None,Auto-Vision
QC-0461,2024-01-06 01:00:00,MACH-001,Part-Delta,83,52,None,Manual-QC1
QC-0462,2024-01-06 01:15:00,MACH-004,Part-Delta,67,62,None,Auto-Vision
QC-0463,2024-01-06 01:30:00,MACH-003,Part-Beta,44,54,None,Manual-QC1
QC-0464,2024-01-06 01:45:00,MACH-002,Part-Beta,84,90,None,Manual-QC2
QC-0465,2024-01-06 02:00:00,MACH-002,Part-Alpha,58,54,None,Auto-Vision
QC-0466,2024-01-06 02:15:00,MACH-001,Part-Beta,21,86,None,Manual-QC2
QC-0467,2024-01-06 02:30:00,MACH-003,Part-Alpha,77,40,None,Manual-QC1
QC-0468,2024-01-06 02:45:00,MACH-002,Part-Delta,45,31,None,Auto-Vision
QC-0469,2024-01-06 03:00:00,MACH-002,Part-Alpha,39,19,None,Manual-QC2
QC-0470,2024-01-06 03:15:00,MACH-002,Part-Gamma,80,4,Assembly Error,Auto-Vision
QC-0471,2024-01-06 03:30:00,MACH-002,Part-Alpha,18,20,None,Manual-QC1
QC-0472,2024-01-06 03:45:00,MACH-002,Part-Alpha,69,78,None,Manual-QC1
QC-0473,2024-01-06 04:00:00,MACH-002,Part-Beta,41,9,None,Manual-QC1
QC-0474,2024-01-06 04:15:00,MACH-003,Part-Alpha,74,72,None,Auto-Vision
QC-0475,2024-01-06 04:30:00,MACH-002,Part-Alpha,70,27,None,Auto-Vision
QC-0476,2024-01-06 04:45:00,MACH-005,Part-Gamma,83,43,None,Manual-QC1
QC-0477,2024-01-06 05:00:00,MACH-002,Part-Alpha,41,28,None,Manual-QC2
QC-0478,2024-01-06 05:15:00,MACH-001,Part-Alpha,58,25,None,Auto-Vision
QC-0479,2024-01-06 05:30:00,MACH-005,Part-Delta,96,58,None,Manual-QC2
QC-0480,2024-01-06 05:45:00,MACH-004,Part-Delta,92,74,None,Manual-QC1
QC-0481,2024-01-06 06:00:00,MACH-005,Part-Delta,42,75,None,Manual-QC1
QC-0482,2024-01-06 06:15:00,MACH-004,Part-Beta,14,34,None,Auto-Vision
QC-0483,2024-01-06 06:30:00,MACH-003,Part-Gamma,24,85,None,Manual-QC1
QC-0484,2024-01-06 06:45:00,MACH-003,Part-Gamma,13,48,None,Manual-QC1
QC-0485,2024-01-06 07:00:00,MACH-001,Part-Beta,65,89,None,Auto-Vision
QC-0486,2024-01-06 07:15:00,MACH-005,Part-Beta,93,46,None,Manual-QC1
QC-0487,2024-01-06 07:30:00,MACH-001,Part-Beta,66,40,None,Manual-QC1
QC-0488,2024-01-06 07:45:00,MACH-004,Part-Gamma,36,67,None,Auto-Vision
QC-0489,2024-01-06 08:00:00,MACH-001,Part-Beta,28,89,None,Auto-Vision
QC-0490,2024-01-06 08:15:00,MACH-001,Part-Gamma,69,57,None,Manual-QC2
QC-0491,2024-01-06 08:30:00,MACH-001,Part-Gamma,55,73,None,Manual-QC2
QC-0492,2024-01-06 08:45:00,MACH-004,Part-Alpha,55,50,None,Auto-Vision
QC-0493,2024-01-06 09:00:00,MACH-005,Part-Beta,11,20,None,Auto-Vision
QC-0494,2024-01-06 09:15:00,MACH-005,Part-Gamma,17,11,None,Manual-QC2
QC-0495,2024-01-06 09:30:00,MACH-005,Part-Gamma,13,65,None,Manual-QC1
QC-0496,2024-01-06 09:45:00,MACH-005,Part-Delta,54,87,None,Manual-QC1
QC-0497,2024-01-06 10:00:00,MACH-001,Part-Alpha,66,70,None,Manual-QC1
QC-0498,2024-01-06 10:15:00,MACH-001,Part-Alpha,29,56,None,Manual-QC1
QC-0499,2024-01-06 10:30:00,MACH-004,Part-Gamma,28,26,None,Auto-Vision
QC-0500,2024-01-06 10:45:00,MACH-004,Part-Gamma,60,2,Dimensional,Auto-Vision
QC-0501,2024-01-06 11:00:00,MACH-002,Part-Beta,63,80,None,Auto-Vision
QC-0502,2024-01-06 11:15:00,MACH-002,Part-Delta,80,80,None,Manual-QC1
QC-0503,2024-01-06 11:30:00,MACH-002,Part-Alpha,18,28,None,Auto-Vision
QC-0504,2024-01-06 11:45:00,MACH-004,Part-Alpha,38,67,None,Auto-Vision
QC-0505,2024-01-06 12:00:00,MACH-004,Part-Alpha,20,93,None,Manual-QC1
QC-0506,2024-01-06 12:15:00,MACH-003,Part-Gamma,70,41,None,Manual-QC2
QC-0507,2024-01-06 12:30:00,MACH-003,Part-Gamma,77,27,None,Manual-QC2
QC-0508,2024-01-06 12:45:00,MACH-005,Part-Gamma,86,39,None,Auto-Vision
QC-0509,2024-01-06 13:00:00,MACH-004,Part-Delta,44,50,None,Manual-QC2
QC-0510,2024-01-06 13:15:00,MACH-004,Part-Alpha,85,46,None,Manual-QC1
QC-0511,2024-01-06 13:30:00,MACH-002,Part-Beta,38,2,Assembly Error,Auto-Vision
QC-0512,2024-01-06 13:45:00,MACH-005,Part-Gamma,62,59,None,Manual-QC1
QC-0513,2024-01-06 14:00:00,MACH-003,Part-Alpha,41,28,None,Manual-QC2
QC-0514,2024-01-06 14:15:00,MACH-001,Part-Gamma,17,63,None,Manual-QC1
QC-0515,2024-01-06 14:30:00,MACH-002,Part-Delta,70,11,None,Manual-QC1
QC-0516,2024-01-06 14:45:00,MACH-001,Part-Gamma,40,70,None,Manual-QC1
QC-0517,2024-01-06 15:00:00,MACH-004,Part-Beta,61,63,None,Auto-Vision
QC-0518,2024-01-06 15:15:00,MACH-005,Part-Beta,53,28,None,Manual-QC2
QC-0519,2024-01-06 15:30:00,MACH-004,Part-Alpha,22,18,None,Auto-Vision
QC-0520,2024-01-06 15:45:00,MACH-001,Part-Beta,79,62,None,Manual-QC1
QC-0521,2024-01-06 16:00:00,MACH-002,Part-Alpha,10,68,None,Auto-Vision
QC-0522,2024-01-06 16:15:00,MACH-003,Part-Gamma,96,6,Material Defect,Manual-QC2
QC-0523,2024-01-06 16:30:00,MACH-001,Part-Beta,49,50,None,Auto-Vision
QC-0524,2024-01-06 16:45:00,MACH-005,Part-Alpha,15,5,Dimensional,Auto-Vision
QC-0525,2024-01-06 17:00:00,MACH-004,Part-Delta,23,42,None,Manual-QC2
QC-0526,2024-01-06 17:15:00,MACH-005,Part-Alpha,88,44,None,Auto-Vision
QC-0527,2024-01-06 17:30:00,MACH-005,Part-Gamma,30,6,Dimensional,Manual-QC1
QC-0528,2024-01-06 17:45:00,MACH-003,Part-Alpha,60,51,None,Manual-QC2
QC-0529,2024-01-06 18:00:00,MACH-004,Part-Delta,55,73,None,Manual-QC1
QC-0530,2024-01-06 18:15:00,MACH-004,Part-Delta,40,47,None,Manual-QC2
QC-0531,2024-01-06 18:30:00,MACH-002,Part-Delta,29,98,None,Auto-Vision
QC-0532,2024-01-06 18:45:00,MACH-001,Part-Alpha,28,1,Assembly Error,Auto-Vision
QC-0533,2024-01-06 19:00:00,MACH-001,Part-Gamma,52,96,None,Manual-QC1
QC-0534,2024-01-06 19:15:00,MACH-004,Part-Delta,62,23,None,Manual-QC2
QC-0535,2024-01-06 19:30:00,MACH-005,Part-Gamma,100,34,None,Manual-QC1
QC-0536,2024-01-06 19:45:00,MACH-003,Part-Beta,60,32,None,Manual-QC1
QC-0537,2024-01-06 20:00:00,MACH-001,Part-Gamma,59,2,Assembly Error,Manual-QC1
QC-0538,2024-01-06 20:15:00,MACH-004,Part-Gamma,67,25,None,Manual-QC1
QC-0539,2024-01-06 20:30:00,MACH-004,Part-Gamma,82,97,None,Auto-Vision
QC-0540,2024-01-06 20:45:00,MACH-002,Part-Gamma,63,1,Assembly Error,Manual-QC1
QC-0541,2024-01-06 21:00:00,MACH-002,Part-Beta,75,85,None,Manual-QC1
QC-0542,2024-01-06 21:15:00,MACH-002,Part-Beta,63,12,None,Auto-Vision
QC-0543,2024-01-06 21:30:00,MACH-003,Part-Gamma,53,8,None,Auto-Vision
QC-0544,2024-01-06 21:45:00,MACH-005,Part-Beta,37,26,None,Manual-QC1
QC-0545,2024-01-06 22:00:00,MACH-005,Part-Gamma,77,58,None,Manual-QC2
QC-0546,2024-01-06 22:15:00,MACH-005,Part-Beta,65,13,None,Manual-QC1
QC-0547,2024-01-06 22:30:00,MACH-005,Part-Gamma,78,66,None,Auto-Vision
QC-0548,2024-01-06 22:45:00,MACH-001,Part-Delta,85,88,None,Auto-Vision
QC-0549,2024-01-06 23:00:00,MACH-004,Part-Delta,87,81,None,Auto-Vision
QC-0550,2024-01-06 23:15:00,MACH-005,Part-Beta,67,41,None,Manual-QC1
QC-0551,2024-01-06 23:30:00,MACH-001,Part-Beta,95,82,None,Manual-QC1
QC-0552,2024-01-06 23:45:00,MACH-001,Part-Beta,15,36,None,Manual-QC1
QC-0553,2024-01-07 00:00:00,MACH-001,Part-Delta,16,17,None,Manual-QC1
QC-0554,2024-01-07 00:15:00,MACH-005,Part-Delta,12,72,None,Manual-QC2
QC-0555,2024-01-07 00:30:00,MACH-003,Part-Alpha,73,82,None,Auto-Vision
QC-0556,2024-01-07 00:45:00,MACH-005,Part-Gamma,24,38,None,Manual-QC1
QC-0557,2024-01-07 01:00:00,MACH-003,Part-Beta,79,91,None,Auto-Vision
QC-0558,2024-01-07 01:15:00,MACH-004,Part-Alpha,52,6,Surface Scratch,Manual-QC1
QC-0559,2024-01-07 01:30:00,MACH-002,Part-Gamma,31,6,Material Defect,Manual-QC2
QC-0560,2024-01-07 01:45:00,MACH-002,Part-Delta,36,28,None,Manual-QC1
QC-0561,2024-01-07 02:00:00,MACH-003,Part-Gamma,79,6,Dimensional,Auto-Vision
QC-0562,2024-01-07 02:15:00,MACH-001,Part-Alpha,40,16,None,Manual-QC1
QC-0563,2024-01-07 02:30:00,MACH-001,Part-Delta,53,23,None,Manual-QC2
QC-0564,2024-01-07 02:45:00,MACH-005,Part-Delta,75,23,None,Manual-QC1
QC-0565,2024-01-07 03:00:00,MACH-003,Part-Alpha,55,19,None,Manual-QC1
QC-0566,2024-01-07 03:15:00,MACH-002,Part-Gamma,12,87,None,Auto-Vision
QC-0567,2024-01-07 03:30:00,MACH-002,Part-Beta,53,28,None,Manual-QC2
QC-0568,2024-01-07 03:45:00,MACH-005,Part-Beta,71,88,None,Manual-QC1
QC-0569,2024-01-07 04:00:00,MACH-004,Part-Delta,23,7,Assembly Error,Auto-Vision
QC-0570,2024-01-07 04:15:00,MACH-005,Part-Delta,85,97,None,Auto-Vision
QC-0571,2024-01-07 04:30:00,MACH-002,Part-Delta,81,66,None,Manual-QC1
QC-0572,2024-01-07 04:45:00,MACH-003,Part-Beta,15,12,None,Manual-QC1
QC-0573,2024-01-07 05:00:00,MACH-005,Part-Gamma,12,93,None,Manual-QC1
QC-0574,2024-01-07 05:15:00,MACH-004,Part-Alpha,50,67,None,Auto-Vision
QC-0575,2024-01-07 05:30:00,MACH-001,Part-Alpha,85,25,None,Manual-QC1
QC-0576,2024-01-07 05:45:00,MACH-005,Part-Gamma,25,87,None,Auto-Vision
QC-0577,2024-01-07 06:00:00,MACH-003,Part-Beta,49,76,None,Manual-QC1
QC-0578,2024-01-07 06:15:00,MACH-001,Part-Alpha,48,93,None,Auto-Vision
QC-0579,2024-01-07 06:30:00,MACH-004,Part-Beta,45,51,None,Manual-QC1
QC-0580,2024-01-07 06:45:00,MACH-005,Part-Gamma,19,71,None,Manual-QC1
QC-0581,2024-01-07 07:00:00,MACH-004,Part-Alpha,13,44,None,Manual-QC1
QC-0582,2024-01-07 07:15:00,MACH-001,Part-Beta,77,85,None,Manual-QC2
QC-0583,2024-01-07 07:30:00,MACH-003,Part-Alpha,22,41,None,Manual-QC1
QC-0584,2024-01-07 07:45:00,MACH-001,Part-Beta,83,35,None,Manual-QC2
QC-0585,2024-01-07 08:00:00,MACH-002,Part-Alpha,45,47,None,Manual-QC2
QC-0586,2024-01-07 08:15:00,MACH-001,Part-Gamma,80,92,None,Manual-QC1
QC-0587,2024-01-07 08:30:00,MACH-004,Part-Alpha,49,4,Dimensional,Manual-QC2
QC-0588,2024-01-07 08:45:00,MACH-001,Part-Beta,18,20,None,Manual-QC2
QC-0589,2024-01-07 09:00:00,MACH-004,Part-Alpha,70,7,Material Defect,Manual-QC1
QC-0590,2024-01-07 09:15:00,MACH-003,Part-Beta,85,79,None,Auto-Vision
QC-0591,2024-01-07 09:30:00,MACH-002,Part-Beta,93,5,Dimensional,Manual-QC2
QC-0592,2024-01-07 09:45:00,MACH-004,Part-Beta,100,24,None,Auto-Vision
